Compte ,Client ,Secteurs Statistique,Catégorie,Secteurs clients,Consolidation Client,Gouvernorat
300231,S. T. I. R. ZARZOUNA,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,S. T. I. R.,BIZERTE
300791,DURAVIT TUNISIA BOULVARD DE L'ENVIRONNEMENT ZARZOUNA BIZERTE,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,DURAVIT TUNISIA,BIZERTE
301121,SANGHO VILLAGE DJERBA RTE TOURISTIQUE AGHIR DJERBA MIDOUN B.P 80,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTEL SANGHO VILLAGE DJERBA,MEDENINE
302261,MONTAZAH ABOU NAWES TABARKA,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTEL MONTAZAH ABOU NAWES TABARKA,JENDOUBA
304161,LA REVETTEMENT SA ZONE INDUSTRIELLE UTIQUE,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,LA REVETTEMENT SA,BIZERTE
305831,S.T.I. CORALIA CLUB PALM BEACH BP:383 HOUMT SOUK DJERBA,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,CORALIA CLUB PALM BEACH,MEDENINE
306001,ETANCHEITE TUNISIENNE DERBIGUM 10 RUE MUSTAPHA SFAR TUNIS BELVEDERE TUNIS,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,ETANCHEITE TUNISIENNE DERBIGUM,BEN AROUS
332061,MIN.ENS.SUP.RECH.SC.TECH.FACULTE DE MEDECINE DE SFAX RTE EL AIN KM 1 SFAX,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,FACULTE DE MEDECINE DE SFAX,SFAX
332151,MIN.EDUC.FORM.LYCEE ALI BOURGUIBA KALAA KEBIRA,EDUCATION NATIONALE,ADMINISTRATION,MIN.EDUC.,LYCEE ALI BOURGUIBA KALAA KEBIRA,SOUSSE
332221,MIN.EDUC.FORM.LYCEE SECONDAIRE DE SBEITLA SBEITLA,EDUCATION NATIONALE,ADMINISTRATION,MIN.EDUC.,LYCEE SECONDAIRE DE SBEITLA ,KASSERINE
332301,MIN.EDUC.FORM.LYCEE SECONDAIRE DE SOUASSI SOUASSI,EDUCATION NATIONALE,ADMINISTRATION,MIN.EDUC.,LYCEE SECONDAIRE DE SOUASSI,MAHDIA
