Compte ,Client ,Secteurs clients,Consolidation Client,Type Clients
200031,AIR ALGERIE PLACE M.AUDIN AEROPORT H.BOUMEDIENNE ALGER,AUTRES CLIENTS ETRANGERS,AIR ALGERIE,AUTRES CLIENTS ETRANGERS
201982,S O N A P R O V AVENUE TAIEB M'HIRI MEGRINE RIADH,AUTRES CLIENTS TUNISIENS,S O N A P R O V,AUTRES CLIENTS TUNISIENS
202481,"TUNISAIR EXPRESS 10, Rue de l'Artisanat, Z.I Charguia II, Tuni",GR. TUNIS AIR,TUNISAIR EXPRESS,GR. TUNIS AIR
202481,TUNISAIR EXPRESS BOULEVARD 7 NOVEMBRE TUNIS CARTHAGE,GR. TUNIS AIR,TUNISAIR EXPRESS,GR. TUNIS AIR
202501,E G Y P T A I R AEROPORT INTERNATIONAL DU CAIRE,AUTRES CLIENTS ETRANGERS,E G Y P T A I R,AUTRES CLIENTS ETRANGERS
202541,T U N I S A V I A BD DU LEADER YASSER ARAFAT TUNIS,AUTRE PAVILLON TUNISIEN,T U N I S A V I A,AUTRE PAVILLON TUNISIEN
202542,T U N I S A V I A BD DU LEADER YASSER ARAFAT TUNIS,AUTRE PAVILLON TUNISIEN,T U N I S A V I A,AUTRE PAVILLON TUNISIEN
203341,"UNITED AVIATION SERVICES ""U A S"" PO BOX 5442 DUBAI EMIRAT ARABE UNIS",INTERMEDIAIRES,"UNITED AVIATION SERVICES ""U A S""",INTERMEDIAIRES
203731,FIRST AVIATION SERVICES OF TUNISIA - F.A.S.T B.P 221 - Tunis Cedex - Tunisie,INTERMEDIAIRES,FIRST AVIATION SERVICES OF TUNISIA - F.A.S.T,INTERMEDIAIRES
203732,FIRST AVIATION SERVICES OF TUNISIA - F.A.S.T B.P 221 - Tunis Cedex - Tunisie,INTERMEDIAIRES,FIRST AVIATION SERVICES OF TUNISIA - F.A.S.T,INTERMEDIAIRES
203881,"JETEX FLIGHT SUPPORT DUBAI AIRPORT DAFZA, BUILD. 6 EAST, BLOCK A,",INTERMEDIAIRES,JETEX FLIGHT SUPPORT,INTERMEDIAIRES
204181,"AGREEMENT No.1110001663 - CSA CZECH AIRLINES J.S.C MAIL ROOM, AIRPORT RUZYNE, PRAGUE 6, 16008, C",AUTRES CLIENTS ETRANGERS,CZECH AIRLINES,AUTRES CLIENTS ETRANGERS
205221,N O U V E L A I R TUNISIE BATIMENT CHAOUCH RTE SOUSSE SKANES MONASTIR,AUTRE PAVILLON TUNISIEN,N O U V E L A I R,AUTRE PAVILLON TUNISIEN
205222,N O U V E L A I R TUNISIE BATIMENT CHAOUCH RTE SOUSSE SKANES MONASTIR,AUTRE PAVILLON TUNISIEN,N O U V E L A I R,AUTRE PAVILLON TUNISIEN
205581,"AVIATION SERVICES MANAGEMENT / A.S.M Sharjah Airport International Free Zone, P.O",INTERMEDIAIRES,AVIATION SERVICES MANAGEMENT,INTERMEDIAIRES
206271,"REGIONAL CAE/YS SOUS COUVERT D'AIR FRANCE 2 PLACE DE LONDRES, BP11201 TREMBLAY EN FRANC",GR. AIR France,REGIONAL CAE/YS SOUS COUVERT D'AIR FRANCE,GR. AIR France
207061,"T U N I S A I R Route X, Charguia II, Tunis-Carthage",GR. TUNIS AIR,T U N I S A I R,GR. TUNIS AIR
207062,T U N I S A I R BOULEVARD 7 NOVEMBRE TUNIS CARTHAGE,GR. TUNIS AIR,T U N I S A I R,GR. TUNIS AIR
207062,"T U N I S A I R Route X, Charguia II, Tunis-Carthage",GR. TUNIS AIR,T U N I S A I R,GR. TUNIS AIR
207063,T U N I S A I R BOULEVARD MED BOUAZIZI CHARGUIA 2,GR. TUNIS AIR,T U N I S A I R,GR. TUNIS AIR
207781,"TRANSAVIA AIRLINES H.V WESTELIJKE RANDWEG 3 /TRIPORT 3, 1118 CR LUCH",GR. AIR France,TRANSAVIA AIRLINES,GR. AIR France
207782,"TRANSAVIA AIRLINES C.V ACCOUNTING FA, PO BOX 7777, 1118 ZM SCHIPHOL AIRPORT, THE NETHERLANDS",GR. AIR France,TRANSAVIA AIRLINES,GR. AIR France
208961,"EMIRATES AIRLINE PO BOX : 686, DUBAI, U.A.E ",EMIRATES AIRLINE,EMIRATES AIRLINE,EMIRATES AIRLINE
209052,"THOMAS COOK AIRLINES Ltd AS1, 13-14 CONINGSBY ROAD, PETERBOROUGH, PE3",GR. THOMAS COOK,THOMAS COOK AIRLINES,GR. THOMAS COOK
209052,"Thomas Cook Airlines UK AS1, 13-14 CONINGSBY ROAD, PETERBOROUGH, PE3",GR. THOMAS COOK,THOMAS COOK AIRLINES,GR. THOMAS COOK
209052,"Thomas Cook Airlines UK AS1, 13-14 CONINGSBY ROAD, PETERBOROUGH, PE3 8SB ",GR. THOMAS COOK,THOMAS COOK AIRLINES,GR. THOMAS COOK
209891,"S N C F T ""LABORATOIRE"" LA GOULETTE",AUTRES CLIENTS TUNISIENS,S N C F T,AUTRES CLIENTS TUNISIENS
210131,"SERVICES AIR TUNISIA ""S A T "" AEROPORT TUNIS CARTHAGE",INTERMEDIAIRES,"SERVICES AIR TUNISIA ""S A T """,INTERMEDIAIRES
210132,"SERVICES AIR TUNISIA ""S A T "" AEROPORT TUNIS CARTHAGE",INTERMEDIAIRES,"SERVICES AIR TUNISIA ""S A T """,INTERMEDIAIRES
211031,"Alitalia - Compagnia Aerea Italiana S.p. a ADMN UFFICIO FORNITORI, PIAZZA ALMERICO DA SC",GR. AIR France,Alitalia,GR. AIR France
211031,"Alitalia - Compagnia Aerea Italiana S.p. a PIAZZA ALMERICO DA SCHIO PAL. RPU, FIUMICINO, ROME",GR. AIR France,Alitalia,GR. AIR France
211032,"Alitalia - Compagnia Aerea Italiana S.p. a PIAZZA ALMERICO DA SCHIO PAL. RPU, FIUMICINO, ROME",GR. AIR France,Alitalia,GR. AIR France
211181,"JET TIME A/S Sk?jtevej 27-31, 2770 Kastrup, Denmark ",AUTRES CLIENTS ETRANGERS,JET TIME,AUTRES CLIENTS ETRANGERS
211331,T U R K I S H A I R L I N E S ATATURK AIRPORT A 34830 ISTAMBUL TURKEY,T U R K I S H A I R L I N E S,T U R K I S H A I R L I N E S,T U R K I S H A I R L I N E S
211332,T U R K I S H A I R L I N E S ATATURK AIRPORT A 34830 ISTAMBUL TURKEY,T U R K I S H A I R L I N E S,T U R K I S H A I R L I N E S,T U R K I S H A I R L I N E S
212621,"BURAQ AIR P.O.BOX 93149, Mitiga Inter. Airport, Tripoli",AUTRES CLIENTS ETRANGERS,BURAQ AIR,AUTRES CLIENTS ETRANGERS
212941,"E N I SPA DIVISIONE REFINING ET MARKETING VIA LAURENTINA 449 ""142 ROME ""ITALIE""",INTERMEDIAIRES,E N I SPA DIVISIONE,INTERMEDIAIRES
212942,"E N I SPA DIVISIONE REFINING ET MARKETING VIA LAURENTINA 449 ""142 ROME ""ITALIE""",INTERMEDIAIRES,E N I SPA DIVISIONE,INTERMEDIAIRES
212943,"E N I SPA DIVISIONE REFINING ET MARKETING VIA LAURENTINA 449 ""142 ROME ""ITALIE""",INTERMEDIAIRES,E N I SPA DIVISIONE,INTERMEDIAIRES
