SERVICE,CODE,STATION,GOUVERNORAT
RESEAU,150720,ARIANA,ARIANA
RESEAU,152510,MNIHLA,ARIANA
RESEAU,153360,Rte de RAOUED,ARIANA
RESEAU,153650,C.B.Ammar,ARIANA
RESEAU,153990,ENNASR ARIANA,ARIANA
RESEAU,154060,S.A. BOUKHTIOUA,ARIANA
RESEAU,155380,Rte de RAOUED,ARIANA
RESEAU,155500,S.A. BOUKHTIOUA,ARIANA
RESEAU,155850,MNIHLA 2,ARIANA
RESEAU,156020,Rte de RAOUED,ARIANA
RESEAU,154130,IDENE,BEJA
RESEAU,154380,MEDJEZ EL BAB,BEJA
RESEAU,154400,SIDI SMAIL,BEJA
RESEAU,154530,SLOUGUIA,BEJA
RESEAU,154770,AMDOUN,BEJA
RESEAU,154900,GUEBELLAT,BEJA
RESEAU,155240,OUCHTATA,BEJA
RESEAU,155250,GRIAAT N. PK29,BEJA
RESEAU,155260,GRIAAT S. PK29,BEJA
RESEAU,155300,BEJA,BEJA
RESEAU,155390,GRIAAT N. PK29,BEJA
RESEAU,155400,GRIAAT S. PK29,BEJA
RESEAU,155480,GRIAAT N. PK29,BEJA
RESEAU,155530,GRIAAT S. PK29,BEJA
RESEAU,155660,GRIAAT N. PK29,BEJA
RESEAU,155670,GRIAAT S. PK29,BEJA
RESEAU,155780,SLOUGUIA,BEJA
RESEAU,155800,TEBOURSOUK,BEJA
RESEAU,153160,BIR EL KASSA,BEN AROUS
RESEAU,153640,FOUCHANA,BEN AROUS
RESEAU,154160,BOUMHEL,BEN AROUS
RESEAU,154450,BEN AROUS MC 34,BEN AROUS
RESEAU,154910,PORT DE RADES,BEN AROUS
RESEAU,154950,EL MOUROUJ,BEN AROUS
RESEAU,155190,BORJ CEDRIA,BEN AROUS
RESEAU,155270,HAMMAM LIF,BEN AROUS
RESEAU,155510,MORNAG,BEN AROUS
RESEAU,155600,BORJ CEDRIA,BEN AROUS
RESEAU,155720,EL MOUROUJ,BEN AROUS
RESEAU,155740,BEN AROUS,BEN AROUS
RESEAU,155760,BIR EL KASSA,BEN AROUS
RESEAU,155830,EL MOUROUJ 3,BEN AROUS
RESEAU,150470,BIZERTE,BIZERTE
RESEAU,151860,MATEUR,BIZERTE
RESEAU,153660,M. BOURGUIBA,BIZERTE
RESEAU,153750,KHETMINE,BIZERTE
RESEAU,153830,GHAR EL MELH,BIZERTE
RESEAU,153920,SEJNENE,BIZERTE
RESEAU,154670,GHAR EL MELH,BIZERTE
RESEAU,154960,ZARZOUNA,BIZERTE
RESEAU,155040,RAS DJEBEL,BIZERTE
RESEAU,155710,RAS DJEBEL,BIZERTE
RESEAU,155770,ZARZOUNA,BIZERTE
RESEAU,155810,RAF RAF,BIZERTE
RESEAU,155890,M. BOURGUIBA,BIZERTE
RESEAU,155920,RAS INGELA,BIZERTE
RESEAU,156060,MATEUR,BIZERTE
RESEAU,151030,GABES GP1,GABES
RESEAU,153060,M. EL HABIB,GABES
RESEAU,153600,KETTANA,GABES
RESEAU,153670,OUEDHREF,GABES
RESEAU,153880,GABES VILLE,GABES
RESEAU,154610,GABES GPL*,GABES
RESEAU,154620,EL HAMMA,GABES
RESEAU,154940,MARETH,GABES
RESEAU,155080,TEBOULBOU,GABES
RESEAU,155690,GHANNOUCH,GABES
RESEAU,150500,EL GUETAR,GAFSA
RESEAU,150990,METLAOUI,GAFSA
RESEAU,151330,GAFSA,GAFSA
RESEAU,153480,SIDI AICH,GAFSA
RESEAU,153840,MOULARES,GAFSA
RESEAU,154470,GAFSA Rte DE TOZ.,GAFSA
RESEAU,153550,TABARKA,JENDOUBA
RESEAU,154430,JENDOUBA GP17,JENDOUBA
RESEAU,154880,JENDOUBA VILLE,JENDOUBA
RESEAU,155180,BALTA,JENDOUBA
RESEAU,155210,BOU SALEM,JENDOUBA
RESEAU,153420,HAJEB EL AYOUN,KAIROUAN
RESEAU,153490,EL ALA,KAIROUAN
RESEAU,153790,HAFFOUZ,KAIROUAN
RESEAU,153800,KAIROUAN,KAIROUAN
RESEAU,153860,S.A.BOUHAJLA,KAIROUAN
RESEAU,153970,MENZEL M'HIRI,KAIROUAN
RESEAU,154100,NASRALLAH,KAIROUAN
RESEAU,154740,EL BATEN,KAIROUAN
RESEAU,155200,CHERARDA,KAIROUAN
RESEAU,155870,OUESLATIA,KAIROUAN
RESEAU,150120,KASSERINE,KASSERINE
RESEAU,150690,FERIANA,KASSERINE
RESEAU,150750,TAHLA,KASSERINE
RESEAU,151620,MAJEL B. ABBES,KASSERINE
RESEAU,153320,FOUSSANA,KASSERINE
RESEAU,153610,SIDI SHIL,KASSERINE
RESEAU,153630,SBEITLA,KASSERINE
RESEAU,154570,EL AYOUN,KASSERINE
RESEAU,155010,SBIBA,KASSERINE
RESEAU,155310,KASSERINE,KASSERINE
RESEAU,155420,FOUSSANA,KASSERINE
RESEAU,153370,KEBILI,KEBILI
RESEAU,154180,SALLE DE LAVAGE,KEBILI
RESEAU,155280,EL FAOUR,KEBILI
RESEAU,155290,DOUZ*,KEBILI
RESEAU,155350,KEBILI (ex-GPL),KEBILI
RESEAU,155610,S. LAHED .K,KEBILI
RESEAU,152580,LE SERS,LE KEF
RESEAU,153230,SAKIET S. Y.,LE KEF
RESEAU,154970,DAHMANI,LE KEF
RESEAU,155000,LE KEF,LE KEF
RESEAU,155100,EL KSOUR,LE KEF
RESEAU,155230,TOUIREF,LE KEF
RESEAU,155370,EL KSOUR,LE KEF
RESEAU,153190,KSOUR ESSEF,MAHDIA
RESEAU,153210,OULED CHAMEKH,MAHDIA
RESEAU,153290,M. HACHED,MAHDIA
RESEAU,153340,SIDI ALOUENE,MAHDIA
RESEAU,153350,REJICHE,MAHDIA
RESEAU,153560,EL JEM,MAHDIA
RESEAU,154190,CHEBBA,MAHDIA
RESEAU,154240,MELLOULECH,MAHDIA
RESEAU,154980,KSOUR ESSEF 2,MAHDIA
RESEAU,155360,SOUASSI,MAHDIA
RESEAU,155450,EL JEM PK192,MAHDIA
RESEAU,155650,EL JEM PK192,MAHDIA
RESEAU,155860,KERKER,MAHDIA
RESEAU,155940,BOUMARDES,MAHDIA
RESEAU,154690,DEN DEN ,MANOUBA
RESEAU,154860,KSAR SAID,MANOUBA
RESEAU,154990,BORJ EL AMRI,MANOUBA
RESEAU,151470,BEN GUERDANE,MEDENINE
RESEAU,152500,HOUMT SOUK,MEDENINE
RESEAU,153110,HASSI AMOR,MEDENINE
RESEAU,153170,JORF JERBA,MEDENINE
RESEAU,153940,EL KANTRA,MEDENINE
RESEAU,154580,ZARZIS,MEDENINE
RESEAU,155160,MEDNINE,MEDENINE
RESEAU,155320,SIDGHEYNE,MEDENINE
RESEAU,155910,MEDNINE 2,MEDENINE
RESEAU,152790,MONASTIR,MONASTIR
RESEAU,153020,BEMBLA,MONASTIR
RESEAU,153080,KSAR HELAL,MONASTIR
RESEAU,154490,SIDI BENNOUR,MONASTIR
RESEAU,154820,TOUZA,MONASTIR
RESEAU,154850,OUERDANINE,MONASTIR
RESEAU,154920,MOKNINE,MONASTIR
RESEAU,155120,JEMMAL,MONASTIR
RESEAU,155440,M. HAYET PK156,MONASTIR
RESEAU,155560,JEMMAL,MONASTIR
RESEAU,155570,KSAR HELAL,MONASTIR
RESEAU,155640,M. HAYET PK156,MONASTIR
RESEAU,155930,MONASTIR,MONASTIR
RESEAU,151560,DOUALA,NABEUL
RESEAU,152170,AZMOUR,NABEUL
RESEAU,152290,GROMBALIA,NABEUL
RESEAU,153240,KORBA,NABEUL
RESEAU,153530,BOUARGOUB,NABEUL
RESEAU,153540,TOZOGHRANE,NABEUL
RESEAU,153770,MAAMOURA,NABEUL
RESEAU,153820,DAR ALLOUCHE,NABEUL
RESEAU,154000,EL MRAZKA,NABEUL
RESEAU,154110,M. SALEM,NABEUL
RESEAU,154310,SOLIMAN,NABEUL
RESEAU,154520,M. TEMIME,NABEUL
RESEAU,154760,BENI KHALLED,NABEUL
RESEAU,155140,NABEUL,NABEUL
RESEAU,155430,BOUARGOUB,NABEUL
RESEAU,151600,GHRAIBA,SFAX
RESEAU,151930,B.A.B KHELIFA,SFAX
RESEAU,152160,KERKENNAH,SFAX
RESEAU,152370,M. CHAKER,SFAX
RESEAU,152640,SFAX GP1,SFAX
RESEAU,153180,SFAX TENIOUR,SFAX
RESEAU,153300,SFAX  PIC VILLE,SFAX
RESEAU,153890,JEBENIANA,SFAX
RESEAU,153900,PORT DE SFAX,SFAX
RESEAU,153950,CITE EL MOEZ  SFAX,SFAX
RESEAU,153980,MAHRES,SFAX
RESEAU,154040,EL HANCHA,SFAX
RESEAU,154080,POUDRIERE GPL,SFAX
RESEAU,154270,AGAREB,SFAX
RESEAU,154280,POUDRIERE SFAX2,SFAX
RESEAU,154340,SKHIRA,SFAX
RESEAU,154710,Rte SIDI MANSOUR,SFAX
RESEAU,155470,BOUJARBOU,SFAX
RESEAU,155520,EL BDERNA,SFAX
RESEAU,155590,CITE EL HABIB - SFAX GPL,SFAX
RESEAU,155700,Rte DE L'AEROPORT KM 9 ,SFAX
RESEAU,155880,SFAX GP1,SFAX
RESEAU,155900,SFAX  PIC VILLE,SFAX
RESEAU,156030,SFAX  PIC VILLE,SFAX
RESEAU,150810,SIDI BOUZID,SIDI BOUZID
RESEAU,152040,JELMA,SIDI BOUZID
RESEAU,152400,BEN AOUN,SIDI BOUZID
RESEAU,152650,OULED HAFFOUZ,SIDI BOUZID
RESEAU,153930,REGUEB,SIDI BOUZID
RESEAU,154210,SOUK JEDID,SIDI BOUZID
RESEAU,154560,MEKNASSY,SIDI BOUZID
RESEAU,155090,C.O. ASKAR,SIDI BOUZID
RESEAU,155580,M.BOUZAIENE,SIDI BOUZID
RESEAU,155730,ESSAIDA,SIDI BOUZID
RESEAU,152360,MAKTHAR,SILIANA
RESEAU,152970,ROUHIA,SILIANA
RESEAU,153130,SILIANA,SILIANA
RESEAU,153460,GAAFOUR,SILIANA
RESEAU,153470,BARGOU,SILIANA
RESEAU,153570,BOUARADA,SILIANA
RESEAU,151770,SOUSSE MED  ALI,SOUSSE
RESEAU,152440,M.DAR BEL OUER,SOUSSE
RESEAU,152740,BEL AOUM,SOUSSE
RESEAU,152800,KONDAR,SOUSSE
RESEAU,152860,MSAKEN,SOUSSE
RESEAU,153100,SIDI BOUALI,SOUSSE
RESEAU,153260,KANTAOUI,SOUSSE
RESEAU,153410,HAMMAM SOUSSE,SOUSSE
