CODGVR,CODLOC,LIBGVR,LIBLOC
1,1,TUNIS,A definir
1,10,TUNIS,EL ATTAR
1,11,TUNIS,LA MARSA
1,12,TUNIS,SEDJOUMI
1,13,TUNIS,LA GOULETTE
1,20,TUNIS,TUNIS CARTHAGE
1,21,TUNIS,A definir
1,34,TUNIS,CARTHAGE
1,40,TUNIS,SIDI BOUSAID
1,41,TUNIS,BAB SAADOUN
1,42,TUNIS,BAB ALIOUA
1,43,TUNIS,TUNIS VILLE
1,44,TUNIS,LA KASBA
1,45,TUNIS,SAIDA
1,46,TUNIS,EL OUARDIA
1,47,TUNIS,KABARIA
1,48,TUNIS,MONTFLEURY
1,49,TUNIS,DUBOSVILLE
1,50,TUNIS,JEBEL JELLOUD
1,51,TUNIS,SIDI FATHALLAH
1,52,TUNIS,SAINT GOBIN Z4
1,55,TUNIS,JEBEL LAHMAR
1,56,TUNIS,MUTUELLE VILLE
1,57,TUNIS,BELVEDERE
1,58,TUNIS,CITE ELKHADRA
1,59,TUNIS,EL MENZAH
1,60,TUNIS,A definir
1,61,TUNIS,KHEIREDDINE
1,62,TUNIS,LA CAGNA
1,63,TUNIS,BERGES DU LAC
1,64,TUNIS,AIN ZAGHOUANE
1,65,TUNIS,EL AOUINA
1,66,TUNIS,LE KRAM
1,67,TUNIS,SALAMBO
1,68,TUNIS,DERMECH
1,69,TUNIS,KRAM OUEST
1,70,TUNIS,BYRSA
1,71,TUNIS,YASMINA
1,72,TUNIS,AMILCAR
1,73,TUNIS,SIDI DAOUD
1,75,TUNIS,LE BARDO
1,76,TUNIS,BORJ ZOUARA
1,77,TUNIS,BIRINE
1,78,TUNIS,OUED GUERIANA
1,79,TUNIS,KSAR SAID
1,80,TUNIS,SORTIE SUD
1,81,TUNIS,MELLASINE
1,82,TUNIS,ZAHROUNI
1,83,TUNIS,EZZOUHOUR
1,84,TUNIS,KHAZNADAR
1,85,TUNIS,EL AGBA
1,86,TUNIS,RAS TABIA
1,87,TUNIS,CITE ETTAHRIR
1,90,TUNIS,GAMMARTH
1,92,TUNIS,CHERGUIA 1
1,94,TUNIS,CHARGUIA 2
1,96,TUNIS,SIDI DRIF
1,98,TUNIS,EL OMRANE
1,99,TUNIS,A definir
2,1,ARIANA,CHAOUAT
2,2,ARIANA,CHEOUIGUI
2,3,ARIANA,LANSARINE
2,4,ARIANA,JEDAIDA
2,5,ARIANA,TEBOURBA
2,6,ARIANA,BORJ ETTOUMI
2,7,ARIANA,EL BATEN
2,8,ARIANA,MORNAGUIA
2,9,ARIANA,BORJ EL AMRI
2,10,ARIANA,KALAAT EL ANDALOUS
2,11,ARIANA,FEJJA
2,12,ARIANA,ARIANA
2,13,ARIANA,ENNASR
2,14,ARIANA,MANOUBA
2,15,ARIANA,A definir
2,16,ARIANA,KSAR SAID
2,17,ARIANA,BACH HAMBA
2,18,ARIANA,CITE LA GAZELLE
2,19,ARIANA,ESSAIDA
2,20,ARIANA,NAHLI
2,21,ARIANA,SIDI ALI HATTAB
2,22,ARIANA,BORJ HADIDA
2,38,ARIANA,BEJAOUA
2,39,ARIANA,OUED ELLIL
2,41,ARIANA,SOUKRA
2,42,ARIANA,SIDI THABET
2,53,ARIANA,MORNAGUIA
2,60,ARIANA,CITE ETAMIR
2,61,ARIANA,BORJ LOUZIR
2,62,ARIANA,CITE ENNOUZHA
2,63,ARIANA,CHOTRANA
2,74,ARIANA,DENDEN
2,75,ARIANA,DOUAR HICHER
2,80,ARIANA,GOUBAQ
2,88,ARIANA,CHOTT ZHANA
2,89,ARIANA,CHORFECH
2,91,ARIANA,M'NIHLA
2,92,ARIANA,SIDI AMOR BOUKHTIOUA
2,93,ARIANA,RAOUED
2,94,ARIANA,CEBALET B AMMAR
2,95,ARIANA,EL HBIBIA
2,96,ARIANA,GHADIR EL GHOULA
3,1,BEN AROUS,BORJ GHORBAL
3,2,BEN AROUS,BORJ TOUTA
3,3,BEN AROUS,DRIJET
3,4,BEN AROUS,EL FEJ
3,5,BEN AROUS,GORJANA
3,6,BEN AROUS,SIDI MASSAOUD
3,7,BEN AROUS,THIBICA
3,14,BEN AROUS,AIN RAKKADA
3,15,BEN AROUS,RADES
3,16,BEN AROUS,HAMMAM-LIF
3,17,BEN AROUS,BORJ CEDRIA
3,18,BEN AROUS,CRETVILLE
3,19,BEN AROUS,MOHAMADIA
3,20,BEN AROUS,BIR EL BEY
3,21,BEN AROUS,MORNAG
3,22,BEN AROUS,BOUMHAL
3,23,BEN AROUS,A definir
3,24,BEN AROUS,KHANGUET
3,25,BEN AROUS,LIHOUDIA
3,26,BEN AROUS,SIDI RZIG
3,36,BEN AROUS,FOUCHANA
3,37,BEN AROUS,KHLEDIA
3,38,BEN AROUS,NAASEN
3,39,BEN AROUS,CHEBEDDA
3,40,BEN AROUS,OUDHNA
3,44,BEN AROUS,EZZAHRA
3,52,BEN AROUS,BEN AROUS
3,53,BEN AROUS,EL MOUROUJ
3,54,BEN AROUS,MEGRINE
3,91,BEN AROUS,EL KABOUTI
3,97,BEN AROUS,BIR EL KASSAA
3,99,BEN AROUS,FONDOUK CHOUCHA
4,2,NABEUL,EL HAOUARIA
4,3,NABEUL,SAHEB EL JEBEL
4,4,NABEUL,BOUKRIM
4,5,NABEUL,TOZGRANE
4,6,NABEUL,AZMOUR
4,7,NABEUL,FRENINE
4,8,NABEUL,HAMMAM EL GHAZEZ
4,9,NABEUL,MENZEL SALEM
4,10,NABEUL,KELIBIA
4,11,NABEUL,MENZEL TEMIME
4,13,NABEUL,ESSKALBA
4,14,NABEUL,EL OUEDIANE
4,15,NABEUL,TAKELSA
4,17,NABEUL,MENZEL HORR
4,18,NABEUL,EL MIDA
4,20,NABEUL,MENZEL BOUZELFA
4,21,NABEUL,KORBA
4,22,NABEUL,SOLIMAN
4,23,NABEUL,FONDOK DJEDID
4,24,NABEUL,BENI-KHALED
4,25,NABEUL,BIR DRASSEN
4,26,NABEUL,GROMBALIA
4,27,NABEUL,NIANOU
4,28,NABEUL,TURKI
4,29,NABEUL,DJEBEL DRIF
4,30,NABEUL,BOUARGOUB
4,32,NABEUL,EL MACHROUHA
4,33,NABEUL,BARAKET SAHEL
4,34,NABEUL,BIR BOURAGBA
